id;usage_date;total_discount_amount
9982bbc2-53f8-4025-b7f1-0222d02407f3;2024-09-08T22:53:16;26842.03
f06a4015-5c18-4891-a8a7-04ffe996a6f7;2024-09-08T22:00:53;6264.89
4b71b822-3535-4223-9673-0ac14df6162e;2024-09-09T11:58:39;29487.75
6dce2404-db35-464b-9318-d2dd0309ab8a;2024-09-09T16:25:00;15405.57
f67fbaf9-eb21-478d-85f3-9c07f0160ff3;2024-09-09T15:03:10;27010
f1627f84-7b01-42c1-818c-7743d143167e;2024-09-09T01:33:50;14952.18
b06f17b3-2e46-4a1d-bd83-6c7d11f13083;2024-09-09T16:59:05;22077.77
045c50ce-b2c6-4a44-ac5b-7463fe76cdd7;2024-09-09T09:18:11;2259.65
6ae8e84e-2dc3-448b-8f3e-c1f116dac863;2024-09-09T10:15:57;23898.3
e784c9c9-062d-46b8-b5be-f69d9b48b8a7;2024-09-08T22:12:52;13952.68
