id;rating;review_date
191603a4-b5e7-45ce-97a3-1ab3e9561d02;6346.66;2024-09-09T06:56:02
bb69a067-9609-49ff-8c03-ad5e29efd658;10859.46;2024-09-08T22:56:52
0cd9ba4e-59cb-446f-b1da-a2514876fd7f;11299.1;2024-09-08T22:38:38
00dfaa74-fed8-437a-b81a-81448558c1e7;19397.4;2024-09-09T16:22:22
6c8293d0-9b40-4fbf-9db6-a91a4ffdf862;16385.65;2024-09-09T06:39:53
8b18c247-5971-4623-8e49-23324e096452;18088.3;2024-09-09T11:49:31
c37c7c8e-c3b7-4256-a226-28bb714457d7;30427.36;2024-09-09T10:13:44
8297ce89-d3d5-49a3-b08f-7325ee02d314;19117.28;2024-09-09T10:40:20
1f66957d-9e00-469d-b1a2-811f9d8ac735;17471.02;2024-09-09T04:55:08
8f68efd1-adc3-4ffc-bf1e-0fd3b8551b42;27864.63;2024-09-08T21:03:45
