id;discount_amount;accounted_price;date
3b860921-6c96-46a3-b349-ba43c4c143ba;14705.26;24343.96;2024-09-09T16:00:27
4df4686e-7283-4a89-a33e-f554ec77bc72;13221.65;22491.71;2024-09-09T17:35:44
db9a6cb6-2602-41cf-a35b-11fff537af1a;29400.2;2774;2024-09-09T11:50:33
30433a91-4f35-4594-a1e4-51bf2f805f5c;1398.23;207.39;2024-09-09T16:02:34
8a79b421-0685-4d50-ac9a-0231ac4cf12b;2018.89;7395.02;2024-09-08T21:18:14
32082e20-f6bf-4c5e-87de-4b69e382aae0;23933.42;32598.76;2024-09-09T18:50:30
104ea884-1e76-4021-96cb-9e13cb446cec;7406.69;20196.84;2024-09-09T06:02:17
83bb31ea-7a6f-4edf-bb65-fd50b0e22ae5;19026.26;21104.7;2024-09-09T17:29:14
488e3f20-2ddc-422f-b8b9-fc289a248db0;3380.33;22891.43;2024-09-08T20:42:40
989bc803-d442-4642-8595-252db7c7d951;4027.22;6749.95;2024-09-09T07:19:47
